time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.169	1.38543	5.20142	0.274169	0.295086	radar	1.91386	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3943	1.464	5.17649	0.294956	0.305328	lidar	1.08905	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6263	1.56982	5.13048	0.334718	0.353027	radar	0.956619	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8564	1.5873	5.09957	0.315254	0.298862	lidar	0.755671	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.12	1.63987	5.12361	0.309801	0.264825	radar	1.24665	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4001	1.67041	5.14732	0.29062	0.215249	lidar	1.86134	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6327	1.73433	5.11522	0.299197	0.2161	radar	0.400031	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8651	1.79167	5.09664	0.300969	0.203283	lidar	0.372754	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.117	1.88412	5.13077	0.315679	0.204844	radar	0.0505235	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3639	1.89911	5.11002	0.289139	0.150825	lidar	0.0681371	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6186	1.95545	5.13383	0.28277	0.125277	radar	0.0995025	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8165	2.09784	5.10998	0.334674	0.193201	lidar	2.70622	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0785	2.2022	5.17043	0.34576	0.184806	radar	0.611087	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2796	2.34795	5.15024	0.392631	0.24067	lidar	1.99114	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4588	2.51642	5.08792	0.460142	0.337191	radar	4.3666	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7083	2.61928	5.10666	0.466467	0.321008	lidar	0.856133	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9269	2.74033	5.09609	0.488208	0.33229	radar	0.108607	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1541	2.8868	5.11309	0.517123	0.349301	lidar	0.151222	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4043	2.98639	5.15115	0.503532	0.287491	radar	0.209235	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6165	3.05058	5.10452	0.489685	0.249201	lidar	1.14804	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.845	3.20072	5.14395	0.50942	0.248508	radar	0.00380184	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0482	3.39427	5.16453	0.559726	0.302224	lidar	0.0413112	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2568	3.56674	5.16713	0.598327	0.343282	radar	0.691327	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4685	3.7499	5.19048	0.63284	0.367008	lidar	0.134901	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6817	3.8831	5.18248	0.638515	0.348076	radar	0.0489516	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9058	4.01894	5.18489	0.641813	0.327892	lidar	0.285186	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.0994	4.19118	5.16612	0.67907	0.374974	radar	0.600681	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.2965	4.38221	5.18471	0.710464	0.391867	lidar	0.0509693	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5074	4.54372	5.19611	0.718461	0.370433	radar	0.602077	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6876	4.71055	5.18035	0.73851	0.3735	lidar	0.360352	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8339	4.92531	5.1427	0.80952	0.486378	radar	0.158825	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9977	5.14504	5.16056	0.850134	0.508108	lidar	0.00131228	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1662	5.32484	5.14359	0.872813	0.511801	radar	0.00511307	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3289	5.50066	5.12338	0.889646	0.501213	lidar	0.0686846	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4824	5.68316	5.09658	0.916248	0.516095	radar	0.146745	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6843	5.79924	5.04924	0.893944	0.453918	lidar	0.676301	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8211	6.01119	5.03669	0.940006	0.507033	radar	0.12818	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0005	6.18981	5.03352	0.944327	0.478465	lidar	0.892558	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1469	6.40335	5.0435	0.969621	0.478439	radar	0.142196	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2693	6.63182	5.05187	1.00611	0.495004	lidar	0.164869	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.3976	6.85257	5.05378	1.03669	0.507099	radar	0.0444066	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5524	6.98751	4.98348	1.02589	0.463032	lidar	-0.00860461	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7021	7.19401	4.99671	1.02787	0.416546	radar	0.177883	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9083	7.32485	4.95064	0.993983	0.345998	lidar	3.307	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9881	7.5441	4.91597	1.05258	0.434087	radar	2.60384	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0797	7.79469	4.94048	1.09532	0.461301	lidar	0.273709	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.1994	8.00583	4.93774	1.10828	0.441426	radar	0.00504873	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2801	8.21686	4.913	1.13819	0.453181	lidar	1.15062	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3787	8.43072	4.90742	1.15015	0.423842	radar	2.06634	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4777	8.58048	4.82433	1.15241	0.403579	lidar	0.750788	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5644	8.7971	4.81108	1.18115	0.42608	radar	0.055311	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7339	8.96206	4.77782	1.15566	0.366443	lidar	4.2083	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8006	9.19207	4.76981	1.20017	0.422941	radar	0.0388057	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9366	9.40445	4.77732	1.19697	0.390469	lidar	2.67832	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.973	9.63839	4.75874	1.25898	0.481433	radar	0.890302	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0633	9.86675	4.76709	1.27462	0.469928	lidar	0.477469	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1233	10.114	4.79197	1.29607	0.450667	radar	0.167122	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1723	10.3744	4.82246	1.32967	0.463262	lidar	0.00547704	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.183	10.6164	4.81255	1.38748	0.533596	radar	1.5582	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2432	10.8774	4.84571	1.40938	0.525365	lidar	0.838001	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2737	11.131	4.86461	1.43254	0.506665	radar	0.127046	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3081	11.3662	4.85835	1.45534	0.503931	lidar	0.0045727	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2471	11.6197	4.84963	1.5496	0.647196	radar	4.02395	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3198	11.8556	4.84956	1.55038	0.607873	lidar	4.78618	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3508	12.0896	4.84794	1.53899	0.502908	radar	1.6183	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3398	12.3664	4.88942	1.57308	0.5105	lidar	0.0174777	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2867	12.6068	4.87852	1.64186	0.607484	radar	1.09696	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3117	12.8452	4.87237	1.65256	0.583951	lidar	1.92408	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2992	13.0792	4.86162	1.67753	0.580974	radar	0.101446	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2618	13.2949	4.83141	1.70953	0.586956	lidar	0.226509	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2239	13.5311	4.82972	1.73072	0.560239	radar	1.05892	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2057	13.7848	4.84598	1.74881	0.547003	lidar	0.751949	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1485	14.0143	4.83728	1.78767	0.575015	radar	0.163928	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.095	14.2645	4.85524	1.81516	0.57214	lidar	0.0337182	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0232	14.4943	4.85209	1.84459	0.566679	radar	1.30562	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9168	14.7426	4.88121	1.88713	0.581588	lidar	1.04635	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8505	14.9635	4.86551	1.89814	0.53374	radar	1.28184	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.82	15.1849	4.83993	1.9055	0.512646	lidar	2.24525	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6837	15.3938	4.83588	2.00002	0.689068	radar	0.459851	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6494	15.5887	4.78151	2.00971	0.663355	lidar	3.91048	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5553	15.7979	4.7699	2.03159	0.635093	radar	0.198652	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4518	16.0086	4.76617	2.06128	0.632921	lidar	0.0296202	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3506	16.2204	4.76105	2.06814	0.56508	radar	0.889475	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2401	16.3995	4.7259	2.09843	0.570109	lidar	-0.000347936	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1202	16.5985	4.72135	2.12794	0.574115	radar	0.00302935	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.9934	16.8041	4.72901	2.15517	0.571823	lidar	0.00439045	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8358	16.9935	4.74168	2.22481	0.683938	radar	2.519	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6678	17.2179	4.79663	2.25876	0.679765	lidar	0.173658	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5659	17.4283	4.78026	2.22464	0.509299	radar	0.0240657	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3583	17.6135	4.81753	2.27045	0.530476	lidar	3.59476	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2209	17.807	4.81134	2.2663	0.449959	radar	0.32743	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0914	17.996	4.79885	2.27892	0.439228	lidar	0.758498	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9131	18.1492	4.78888	2.33176	0.513898	radar	0.425886	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.779	18.2977	4.74124	2.35252	0.510714	lidar	0.850648	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6432	18.4811	4.73135	2.35815	0.47657	radar	4.39894	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4549	18.6587	4.75881	2.38442	0.477993	lidar	0.279032	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2715	18.7999	4.74877	2.42564	0.518904	radar	0.326225	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1089	18.939	4.72003	2.45008	0.518584	lidar	0.256303	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
